name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Terracotta,922,bb6239,0.593,0.127,44.200,Red-orange
Tuscan Ochre,921,9d401c,0.492,0.133,40.010,Red-orange
Sienna Ochre,920,7f2203,0.399,0.133,36.353,Red-orange
Terracotta Brown,919,660600,0.324,0.128,30.618,Red-orange
Rosewood,918,5b1000,0.309,0.110,34.340,Red-orange
Eggshell,3770,f5e3d1,0.926,0.031,67.428,Orange
Champagne,945,dbba9e,0.810,0.054,62.268,Orange
Pottery,402,d38e62,0.707,0.103,52.863,Orange
Nut Brittle,3776,ad6741,0.584,0.104,48.300,Orange
Squirrel,301,884319,0.463,0.108,48.379,Orange
Conker,400,591a00,0.316,0.099,40.190,Red-orange
Mahogany,300,3f0e01,0.248,0.080,37.458,Red-orange
Cherry Blossom,225,e7c6c2,0.854,0.038,26.083,Red-orange
Earthworm,224,ca9b97,0.732,0.057,24.132,Red-orange
Old Pink,152,bc8688,0.674,0.067,16.527,Red
Granite Pink,223,93505a,0.514,0.090,11.212,Red
Dark Rosewood,3722,803c46,0.447,0.094,12.459,Red
Pink Earth,3721,681f2b,0.358,0.104,14.498,Red
Mars Red,221,520416,0.282,0.108,16.237,Red
Himalayan Salt,948,e6cab6,0.857,0.042,57.679,Warm neutral
Beige Rose,754,daaa93,0.776,0.065,46.852,Orange
Pink Sand,3771,cc9778,0.720,0.077,51.438,Orange
Pink Dawn,758,c89079,0.702,0.076,43.260,Red-orange
Rose Gold,3778,ac6858,0.588,0.091,34.037,Red-orange
Pink Terracotta,356,914b41,0.496,0.096,29.411,Red-orange
Deep Blush,3830,7e2a23,0.410,0.118,28.117,Red-orange
Red Brown,355,610908,0.316,0.120,28.010,Red-orange
Red Leather,3777,480005,0.253,0.103,25.176,Red-orange
Burnished Pink,3779,d6a393,0.759,0.065,38.131,Red-orange
Clay,3859,956252,0.547,0.071,38.163,Red-orange
Rose Brown,3858,552121,0.324,0.078,22.389,Red-orange
Oxblood,3857,370609,0.222,0.077,22.666,Red-orange
Peach,20,f4b4a3,0.825,0.079,35.409,Red-orange
Prosciutto,21,ab574c,0.556,0.112,28.880,Red-orange
Ruby,22,7a0f19,0.374,0.139,23.476,Red-orange
Linen,3774,dfc0ab,0.829,0.046,56.113,Warm neutral
Beige,950,d6b59f,0.796,0.049,55.582,Warm neutral
Fallow,3064,a5735c,0.601,0.072,45.598,Orange
Fawn,407,a67767,0.612,0.064,39.596,Red-orange
Glazed Chestnut,3772,825041,0.484,0.072,37.462,Red-orange
Cocoa,632,613023,0.371,0.075,35.832,Red-orange
Dove Gray,453,c6bab4,0.797,0.016,48.512,Warm neutral
Pigeon Gray,452,a79594,0.685,0.022,21.507,Warm neutral
Little Gray,451,7c6667,0.532,0.028,14.993,Warm neutral
Light Taupe,3861,927676,0.593,0.035,18.190,Warm neutral
Dark Taupe,3860,604444,0.417,0.039,18.842,Warm neutral
Sepia,779,4b3030,0.342,0.040,19.317,Warm neutral
Pine Marten,09,372428,0.285,0.030,5.242,Warm neutral
Cream,712,e7dac3,0.893,0.034,81.978,Warm neutral
Dune,739,e3cdab,0.858,0.052,78.675,Yellow-orange
Sahara,738,caaa81,0.756,0.067,73.425,Yellow-orange
Camel,437,c59867,0.711,0.085,68.154,Orange
Teddy,436,a6794c,0.611,0.083,65.198,Orange
Tobacco,435,936036,0.535,0.088,58.786,Orange
Cigar Brown,434,723700,0.407,0.102,54.268,Orange
Chocolate,433,4f2403,0.315,0.077,52.330,Orange
Mink,801,401c07,0.274,0.064,47.900,Orange
Ferret,898,320e02,0.222,0.063,40.841,Red-orange
Clove,938,2f1512,0.233,0.043,27.719,Warm neutral
Peppercorn,3371,180d0e,0.175,0.019,13.223,Warm neutral
Shell,543,d3beae,0.815,0.033,59.623,Warm neutral
Vicuna Wool,3864,b39781,0.696,0.046,60.096,Warm neutral
Otter,3863,85644d,0.531,0.055,56.098,Orange
Lama,3862,694730,0.430,0.059,54.593,Orange
Brazil Nut,3031,281610,0.223,0.032,39.190,Warm neutral
Edelweiss,3865,f5f4ec,0.966,0.011,100.822,Warm neutral
Ecru,Ecru,e7dbc4,0.895,0.033,83.707,Warm neutral
Cotton,822,d6ccb7,0.848,0.031,85.566,Warm neutral
Hemp,644,bdb39f,0.770,0.030,84.586,Warm neutral
Umbra Gray,642,887a64,0.586,0.036,79.059,Warm neutral
Gray Cobblestone,640,6d6148,0.497,0.040,85.236,Warm neutral
Gray Wolf,3787,474135,0.378,0.021,84.540,Warm neutral
Ink,3021,261f1a,0.246,0.014,57.539,Warm neutral
Black Pepper,844,383130,0.320,0.010,27.401,Warm neutral
Ashes,3033,cfbeaa,0.810,0.034,71.823,Warm neutral
Ginger,3782,ab9981,0.692,0.040,74.962,Warm neutral
Stone,3032,89775e,0.579,0.043,75.811,Warm neutral
Tree Bark,3790,6e5846,0.478,0.040,60.918,Warm neutral
Wrought Iron,3781,402c1d,0.313,0.039,57.624,Warm neutral
Frosted Glass,05,c2b3aa,0.777,0.021,53.174,Warm neutral
Koala,06,b8a89f,0.743,0.023,51.421,Warm neutral
Rhino,07,89756b,0.578,0.029,48.192,Warm neutral
Racoon,08,503d37,0.379,0.029,38.247,Warm neutral
Garlic White,3866,e0d3c9,0.875,0.020,60.138,Warm neutral
Beige Rope,842,b29a87,0.702,0.039,60.468,Warm neutral
Suede,841,9e806e,0.623,0.046,52.584,Warm neutral
Country Mouse,840,7e604e,0.515,0.048,52.304,Warm neutral
Root Brown,839,412b20,0.312,0.038,47.455,Warm neutral
Dark Wood,838,291311,0.218,0.037,26.013,Warm neutral
Thunderous Skies,3072,cbcbc1,0.839,0.014,106.690,Cool neutral
Rock Gray,647,949382,0.659,0.025,104.298,Cool neutral
Elephant,3023,9c9482,0.668,0.027,86.892,Cool neutral
Rhino,3022,797860,0.567,0.035,105.501,Cool neutral
Silver Linings,3024,bfbeb2,0.799,0.017,102.897,Cool neutral
White Pepper,648,a59e93,0.702,0.018,79.320,Cool neutral
Smoke Gray,646,756d60,0.538,0.022,80.026,Cool neutral
Reindeer Gray,645,504945,0.411,0.012,51.866,Cool neutral
White Light,B5200,fefffd,0.999,0.003,128.492,Gray
Blanc,Blanc,f8f7f5,0.976,0.003,84.559,Gray
Pearl Gray,762,d7d8da,0.882,0.003,264.541,Gray
Chrome,415,adafb8,0.755,0.013,276.036,Gray
Granite Gray,318,848994,0.630,0.017,266.208,Gray
Lead,414,606470,0.504,0.020,271.006,Gray
Rain,01,cdcacb,0.842,0.004,354.711,Gray
Mist,02,b8b7ba,0.781,0.004,301.404,Gray
Dust,03,918f98,0.655,0.013,296.209,Gray
Shadow,04,6c666e,0.518,0.014,317.718,Gray
Pebble,535,423d41,0.367,0.010,332.388,Gray
Town Mouse Gray,168,aeb4b8,0.766,0.009,236.602,Gray
Tin,169,717779,0.565,0.008,219.616,Gray
Steel,317,3f4550,0.389,0.020,262.625,Gray
Iron,413,31353c,0.328,0.014,261.722,Gray
Anthracite,3799,212326,0.255,0.006,258.360,Gray
Black,310,010002,0.051,0.026,311.994,Gray
