name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Light Malachite,564,8CC5AD,0.777,0.069,166.623,Green
Celedon,563,74B499,0.719,0.077,165.838,Green
Malachite,562,408769,0.569,0.086,163.761,Green
Pinewood,505,2C775A,0.514,0.088,164.451,Green
Poplar,3817,92C3B7,0.779,0.054,178.039,Blue-green
Serpent,3816,73AB9D,0.698,0.062,176.969,Blue-green
Eucalyptus,163,538D7D,0.599,0.066,174.362,Blue-green
Almond Green,3815,457E6E,0.549,0.066,173.618,Blue-green
Cypress Green,561,32715F,0.502,0.072,172.068,Blue-green
Lichen Green,3813,ABCFC8,0.826,0.039,182.206,Blue-green
Thyme Green,503,8CB5AE,0.741,0.045,183.475,Green
Almond Leaf,502,5B867D,0.586,0.049,179.960,Green
Pond Green,501,3E6059,0.461,0.041,180.019,Green
Ivy,500,24423C,0.353,0.038,179.767,Green
Pale Green,955,ADEBD1,0.891,0.072,166.968,Green
Spearmint,13,A2E6C4,0.870,0.083,162.307,Green
Rice Field,954,8FE0BE,0.845,0.093,165.823,Green
Jade,913,67C19B,0.744,0.104,164.394,Green
Watermint,912,3FA278,0.642,0.113,162.299,Green
Golf Green,911,108957,0.557,0.125,158.408,Green
English Green,910,217847,0.509,0.113,154.105,Green
Croquet Lawn,909,007544,0.495,0.119,156.264,Green
Broccoli,3818,0A5C3D,0.421,0.090,161.056,Green
Bamboo Shoot Green,369,BFE8CA,0.894,0.059,153.356,Green
Eau de Nile,368,98C3A8,0.779,0.060,157.158,Green
Fern,320,689C81,0.648,0.069,161.026,Green
Laurel,367,47765E,0.525,0.064,160.824,Green
Shaded Green,319,2A513D,0.400,0.056,159.997,Green
Black Forest,890,1F4730,0.362,0.061,156.321,Green
Pistachio,164,B0E3B8,0.869,0.079,149.191,Green
Fennel,989,82BA84,0.736,0.097,145.365,Green
Verbena Stem,988,5A905A,0.601,0.099,144.224,Green
Basil,987,437553,0.517,0.077,153.236,Green
Boxwood,986,305F3F,0.443,0.074,152.646,Green
Celery,772,C4E2BB,0.881,0.061,138.492,Green
Scallion,3348,ADD08B,0.815,0.100,130.217,Green
Asparagus,3347,74995C,0.640,0.096,133.883,Green
Artichoke,3346,587C49,0.546,0.086,136.922,Green
Spinach,3345,375F35,0.444,0.081,143.056,Green
Bottle Green,895,2F5634,0.414,0.072,147.093,Green
Bok Choy,14,DCF1A7,0.925,0.098,121.210,Yellow-green
Spring Onion,15,DCF094,0.920,0.118,118.793,Yellow-green
Sprout,16,CBE873,0.886,0.147,120.994,Yellow-green
Lime,704,A8CB4D,0.792,0.157,123.184,Yellow-green
Spring Green,703,89C346,0.752,0.167,130.712,Yellow-green
Spring Lawn,702,65B446,0.695,0.165,137.931,Yellow-green
Grass,701,43A130,0.629,0.174,140.571,Green
Meadow Green,700,288F2A,0.571,0.166,143.249,Green
Candied Fruit,699,147636,0.497,0.131,149.390,Green
Granny Smith,907,BAD728,0.829,0.186,119.369,Yellow-green
Mistletoe,906,8FC01B,0.746,0.184,126.287,Yellow-green
Budgie Green,905,618D16,0.590,0.148,128.992,Yellow-green
Kale,904,527D17,0.538,0.135,130.576,Yellow-green
Green Bud,472,D2DB76,0.863,0.126,113.213,Yellow-green
Tarragon,471,AEC153,0.774,0.137,117.928,Yellow-green
Olive Green,470,84A735,0.680,0.145,124.908,Yellow-green
Golden Moss Green,469,708F2D,0.606,0.129,125.252,Yellow-green
Moss,937,547B32,0.537,0.111,132.540,Yellow-green
Oak Moss,936,4D6B2E,0.490,0.095,130.908,Yellow-green
Undergrowth,935,3F5426,0.417,0.075,129.400,Yellow-green
Seaweed,934,3E4C2F,0.396,0.050,129.388,Yellow-green
Sage,3364,A5B06D,0.733,0.090,116.293,Yellow-green
Bullfrog,3363,6C824A,0.575,0.084,126.407,Yellow-green
Conifer,3362,5A713D,0.517,0.081,128.447,Yellow-green
Lemon Sherbet,10,FAFFB3,0.979,0.096,111.208,Yellow-green
