name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Silver White,2309,F9F7F2,0.976,0.007,88.642,Gray
Muslin,2311,EFEBE1,0.940,0.014,88.686,Gray
Dark Brown,2000,F1E6BE,0.924,0.054,94.445,Yellow
Very Light Brass,5021,D3D1BF,0.857,0.024,101.725,Warm neutral
Light Military Green,5020,C1C190,0.799,0.066,107.797,Yellow-green
Light Kakhy Green,2900,ACA76E,0.719,0.077,103.856,Yellow-green
Stone,2324,B7A78C,0.735,0.042,80.799,Warm neutral
Linen,2325,C6AD7B,0.757,0.072,84.220,Yellow-orange
Sandstone,2370,8F7F64,0.604,0.044,80.661,Warm neutral
Very Light Brass,2915,E7D393,0.869,0.085,92.770,Yellow
Light Brass,2920,B09247,0.672,0.101,87.674,Yellow
Mustard,5022,E3B025,0.783,0.152,86.134,Yellow
Brass,2975,B47F3A,0.637,0.107,70.770,Orange
Chocolate,2360,4D2B1A,0.329,0.058,46.633,Orange
Medium Bark,1285,54342D,0.362,0.048,32.948,Warm neutral
Light Grey,5024,3B1803,0.257,0.064,48.930,Orange
Dark Wine,2468,421A2C,0.284,0.066,353.930,Red-violet
Very Dark Brown,2465,2F0E02,0.216,0.059,42.414,Orange
Sea Biscuit,6722,FDFBF1,0.987,0.013,97.437,Gray
Light Beige,2310,F1E4BB,0.919,0.055,92.527,Yellow
Ermine,2312,E9E3D4,0.916,0.021,88.725,Warm neutral
Blond Beige,5010,CFB96B,0.788,0.101,94.089,Yellow
Cashmere,2318,E2A13F,0.755,0.135,73.837,Yellow-orange
Café au Lait,2340,98693B,0.560,0.087,63.839,Orange
Sand,2326,B8AE8D,0.751,0.047,93.176,Warm neutral
Beige,2314,E6BD93,0.824,0.073,67.209,Orange
Shell,2315,FBCA99,0.871,0.085,66.335,Orange
Apricot,2205,FCD5C1,0.901,0.052,48.752,Orange
Light Blush,2420,FABFAC,0.853,0.073,38.597,Red-orange
Peach,2215,F6874F,0.735,0.153,46.042,Orange
Caramel,2210,CE6111,0.616,0.159,48.987,Orange
Light Toast,2320,E59738,0.739,0.141,67.109,Orange
Light Cinnamon,2335,B9772A,0.626,0.122,65.719,Orange
Golden Toast,2930,D27F12,0.671,0.147,64.553,Orange
Cinnamon,2155,97440C,0.487,0.127,47.734,Orange
Copper Brown,4012,742F09,0.397,0.108,44.314,Orange
White,2024,FFFFFF,1.000,0.000,0.000,Gray
Mint Ice,2800,DAEFE1,0.933,0.029,156.618,Green
Airstream,6726,BEC6B5,0.816,0.025,127.648,Cool neutral
Moondust,6725,D9CFBC,0.857,0.028,83.532,Warm neutral
Moonshine,6724,DBD4CB,0.873,0.014,74.411,Gray
