vendor_code,name,hex_color,oklch_l,oklch_c,oklch_h,color_family
K001-1031,Bluegrass,0da485,0.641,0.122,172.688,Blue-green
K001-1135,Emerald,09735f,0.497,0.092,174.709,Blue-green
K001-483,Ultra Marine,08655b,0.456,0.079,182.996,Blue-green
K001-146,Glacier,056b73,0.482,0.081,204.011,Blue-green
K001-356,Everglade,055853,0.416,0.071,188.070,Blue-green
K001-1361,Spruce,09463a,0.354,0.062,175.545,Blue-green
K001-1137,Evergreen,2e4126,0.351,0.051,136.815,Green
K001-1852,Sea Mist,d2fce2,0.954,0.055,158.085,Green
K001-2018,Julep,b6ebd4,0.897,0.063,166.638,Blue-green
K001-1173,Ice Frappe,acf4e2,0.915,0.076,177.287,Blue-green
K001-1833,Aloha,93f6e3,0.907,0.098,180.356,Blue-green
K001-45,Pool,18ddd0,0.810,0.139,187.236,Blue-green
K001-1061,Candy Green,2dd9be,0.797,0.138,178.878,Blue-green
K001-1321,Sage,66b7a7,0.723,0.084,179.607,Blue-green
K001-1009,Azure,6ce9e9,0.864,0.111,195.329,Blue-green
K001-442,Capri,3ee1e1,0.830,0.129,194.988,Blue-green
K001-440,Breakers,0aa3ad,0.652,0.110,202.661,Blue-green
K001-1183,Jade Green,05999a,0.619,0.105,195.640,Blue-green
K001-1064,Caribbean,08728d,0.512,0.093,222.307,Blue-green
K001-1373,Teal Blue,346f7f,0.509,0.066,218.047,Blue-green
K001-846,Sea Glass,cafbfc,0.955,0.050,197.981,Blue-green
K001-1005,Aqua,a9f2e9,0.911,0.073,186.427,Blue-green
K001-1514,Robin Egg,8febf8,0.887,0.090,207.258,Blue-green
K001-1011,Bahama Blue,6ce7f4,0.863,0.111,204.723,Blue-green
K001-491,Jamaica,25cfe7,0.785,0.130,210.152,Blue-green
K001-1282,Peacock,15b7dd,0.722,0.129,220.324,Blue
K001-139,Lagoon,079fcd,0.656,0.126,227.690,Blue
K001-1376,Turquoise,059bc4,0.642,0.121,225.334,Blue
K001-151,Cyan,068fa6,0.598,0.104,214.506,Blue-green
K001-446,Oasis,086a91,0.494,0.100,233.347,Blue
K001-479,Mediterranean,08629e,0.481,0.122,246.452,Blue
K001-1513,Sky,e2fcf7,0.971,0.028,183.085,Blue-green
K001-1010,Baby Blue,b8eef3,0.914,0.055,203.368,Blue-green
K001-362,Dusty Blue,96c9ca,0.801,0.053,197.728,Blue-green
K001-444,Fog,9abcc4,0.773,0.038,213.674,Blue-green
K001-866,Waterfall,77bad3,0.753,0.077,223.723,Blue
K001-1853,Seascape,66c2d7,0.765,0.092,214.503,Blue-green
K001-497,Niagara,4bc2e7,0.762,0.117,222.270,Blue
K001-405,Alegria,3db5e3,0.727,0.123,228.094,Blue
K001-171,Water,16a6d9,0.680,0.131,229.869,Blue
K001-864,Paris Blue,0590cd,0.620,0.135,237.535,Blue
K001-494,Malibu,0575b9,0.544,0.136,245.290,Blue
K001-90,Pacific,055da3,0.472,0.134,250.755,Blue
K001-1028,Blue,c6eaf2,0.914,0.039,212.738,Blue-green
K001-266,Breeze,beeaf8,0.911,0.049,219.204,Blue-green
K001-194,Lake,a8d9f4,0.860,0.063,232.586,Blue
K001-855,Prairie Sky,82c7f4,0.800,0.095,238.193,Blue
K001-448,Stratosphere,33a5df,0.685,0.130,236.003,Blue
K001-484,Astral,2c83d5,0.600,0.149,250.880,Blue
K001-1845,Harbor,2372b2,0.537,0.125,247.679,Blue
K001-32,Surf,075ba2,0.467,0.135,251.643,Blue
K001-848,Blueprint,0653a2,0.448,0.144,255.142,Blue
K001-25,Ocean,163a93,0.384,0.153,263.864,Blue
K001-455,Riviera,053381,0.348,0.140,260.836,Blue
K001-1218,Marine,103a7f,0.365,0.126,260.125,Blue
K001-847,Spa Blue,98d2ec,0.833,0.070,227.557,Blue
K001-277,Blueberry,7caed2,0.729,0.075,240.379,Blue
K001-1060,Candy Blue,75a0cb,0.691,0.079,249.048,Blue
K001-1285,Periwinkle,75a7df,0.715,0.098,251.999,Blue
K001-196,Blue Jay,7098d8,0.677,0.105,259.532,Blue
K001-1452,Denim,6181b1,0.599,0.082,258.304,Blue
K001-1123,Dresden Blue,6488a7,0.612,0.062,245.068,Blue
K001-1101,Delft,507f9e,0.575,0.070,238.598,Blue
K001-195,Evening,4d7daa,0.575,0.087,248.080,Blue
K001-1084,Copen,4375ad,0.553,0.103,252.571,Blue
K001-1058,Cadet,42627b,0.482,0.055,242.786,Blue
K001-1336,Slate,5d6b81,0.524,0.039,259.378,Blue
K001-152,Cloud,c9e7fa,0.912,0.041,235.773,Blue
K001-1029,Blue Bell,9fbeda,0.788,0.052,245.816,Blue
K001-27,Cornflower,7caed2,0.729,0.075,240.379,Blue
K001-318,Grapemist,8ba3db,0.718,0.087,266.346,Blue-violet
K001-1171,Hyacinth,516cb4,0.544,0.117,266.992,Blue-violet
K001-357,Lapis,485c9f,0.491,0.110,269.508,Blue-violet
K001-346,Regatta,245b8c,0.459,0.099,248.636,Blue
K001-1314,Royal,054083,0.380,0.126,256.247,Blue
K001-454,Prussian,05345a,0.318,0.083,248.967,Blue
K001-1389,Windsor,23424f,0.361,0.043,227.096,Blue
K001-458,Storm,0a263f,0.262,0.058,248.869,Blue
K001-844,Princess,e2c9e9,0.866,0.051,318.728,Violet
K001-1191,Lilac,b7a4be,0.743,0.042,316.898,Violet
K001-1189,Lavender,9c8fba,0.677,0.064,298.498,Violet
K001-1003,Amethyst,776da9,0.569,0.092,290.821,Violet
K001-1048,Brt. Peri,5f4893,0.462,0.119,295.505,Violet
K001-233,Celestial,054f6e,0.403,0.082,234.119,Blue
K001-852,Noble Purple,454390,0.427,0.124,280.964,Blue-violet
K001-1541,Deep Blue,354987,0.422,0.106,268.189,Blue
K001-415,Regal,272859,0.305,0.086,279.104,Blue-violet
K001-140,Nightfall,122857,0.289,0.090,263.109,Blue
K001-1232,Midnight,341c42,0.278,0.073,311.670,Violet
K001-412,Nautical,102039,0.244,0.053,259.014,Blue
K001-1178,Indigo,112732,0.260,0.035,232.001,Blue
K001-1266,Orchid,ebcde1,0.879,0.043,338.116,Violet
K001-134,Thistle,d4b6d8,0.813,0.057,322.255,Violet
K001-1850,Orchid Ice,bca2cf,0.750,0.070,310.709,Violet
K001-1392,Wisteria,a27ebe,0.651,0.101,309.504,Violet
K001-488,Dahlia,a36aae,0.610,0.118,320.929,Violet
K001-495,Morning Glory,8a62a8,0.566,0.113,309.462,Violet
K001-477,Heliotrope,6e4a93,0.482,0.119,305.131,Violet
K001-142,Crocus,84539a,0.526,0.120,314.635,Violet
K001-2119,Nocturne,69347a,0.424,0.124,317.320,Violet
K001-1857,Velvet,552f85,0.399,0.139,300.573,Violet
K001-327,Tulip,65437c,0.446,0.098,310.431,Violet
K001-1301,Purple,46275e,0.340,0.098,308.069,Violet
K001-188,Hibiscus,4f2344,0.331,0.081,337.666,Violet
K001-24,Petunia,f5c8e7,0.881,0.065,337.621,Red-violet
K001-487,Corsage,eda4db,0.806,0.111,335.861,Red-violet
K001-258,Pansy,c78cc6,0.717,0.105,327.142,Red-violet
K001-1484,Lupine,c690bb,0.719,0.087,333.807,Red-violet
K001-1383,Violet,a7699b,0.604,0.104,334.068,Red-violet
